Boat_Type,Manufacturer,Type,Year_Built,Length,Width,Material,Views_7_days,Country,Amount_US
Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,75,Germany,3839.0000000000005
Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,58,Germany,3738.9
Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,239,Switzerland,525.0
Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,69,Italy,3850.0000000000005
Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,113,Switzerland,690.0
Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,413,Switzerland,675.0
Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,265,France,4400.0
Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,69,Germany,4398.900000000001
Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,90,Germany,4323.0
Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,98,Germany,4290.0
Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,160,Switzerland,630.0
Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,130,Switzerland,604.5
Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,512,Switzerland,596.25
Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,202,Switzerland,592.5
Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,255,Switzerland,570.0
Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,1804,Switzerland,570.0
Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,849,Switzerland,570.0
Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,133,Germany,3850.0000000000005
Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,186,Germany,6050.000000000001
Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,118,Spain,6050.000000000001
Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,74,Italy,6050.000000000001
Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,543,Switzerland,885.0
Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,67,Germany,5938.900000000001
Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,141,Germany,5720.000000000001
Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,278,Switzerland,825.0
Runabout,Kimple power boats,new boat from stock,2020,4.0,1.65,Aluminium,99,Switzerland,825.0
Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,1201,Switzerland,1080.0
Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,277,Germany,7249.000000000001
Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,85,Italy,7150.000000000001
