Views_7_days,Country,Amount_US,Year_Built
75,Germany,3839.0000000000005,2020
58,Germany,3738.9,2019
239,Switzerland,525.0,1987
69,Italy,3850.0000000000005,2004
113,Switzerland,690.0,2020
413,Switzerland,675.0,1997
265,France,4400.0,1981
69,Germany,4398.900000000001,2019
90,Germany,4323.0,2020
98,Germany,4290.0,1979
160,Switzerland,630.0,1998
130,Switzerland,604.5,2018
512,Switzerland,596.25,2020
202,Switzerland,592.5,1996
255,Switzerland,570.0,1996
1804,Switzerland,570.0,1980
849,Switzerland,570.0,1974
133,Germany,3850.0000000000005,1983
186,Germany,6050.000000000001,2018
118,Spain,6050.000000000001,1997
74,Italy,6050.000000000001,1961
543,Switzerland,885.0,1980
67,Germany,5938.900000000001,2018
141,Germany,5720.000000000001,2020
278,Switzerland,825.0,1968
99,Switzerland,825.0,2020
1201,Switzerland,1080.0,1987
277,Germany,7249.000000000001,1972
85,Italy,7150.000000000001,1990
122,Germany,7150.000000000001,2018
183,Italy,7150.000000000001,2010
289,Germany,7150.000000000001,1968
324,Austria,7150.000000000001,1991
126,Germany,7139.000000000001,1994
238,Switzerland,1050.0,2018
866,Switzerland,1050.0,1980
574,Switzerland,1050.0,2000
205,Switzerland,1245.0,1986
200,Germany,8404.0,1985
462,Switzerland,1223.25,2020
201,Germany,8250.0,1996
137,Austria,8250.0,1971
208,France,8250.0,1994
189,France,8250.0,1981
131,France,8250.0,2005
490,Germany,8250.0,1995
280,Switzerland,1410.0,1976
873,Switzerland,1389.75,2020
258,Switzerland,1380.0,1990
165,Italy,9350.0,2018
78,France,9350.0,1994
116,France,9350.0,2006
250,Germany,9350.0,2016
183,Netherlands,10725.0,1980
465,Switzerland,1575.0,2011
418,Switzerland,1560.0,1984
185,Germany,10558.900000000001,1992
64,Germany,10532.5,2016
91,Netherlands,10508.300000000001,2019
138,Netherlands,10450.0,1964
184,Italy,10450.0,2019
162,Germany,10450.0,1985
256,Switzerland,1650.0,1991
230,Switzerland,1650.0,2006
182,Switzerland,1650.0,2006
115,Germany,11126.5,2020
159,Switzerland,1635.0,2020
585,Italy,11000.0,1993
185,Italy,11000.0,1979
182,Italy,11000.0,1975
900,Germany,11000.0,1940
783,Italy,11000.0,1991
175,France,11000.0,1995
207,France,11000.0,1995
284,Italy,12100.000000000002,1988
125,Germany,12100.000000000002,1974
229,Italy,12100.000000000002,1997
226,France,12100.000000000002,1996
87,France,12100.000000000002,1971
175,Italy,12100.000000000002,1998
173,Italy,12100.000000000002,1992
422,Spain,12100.000000000002,2000
243,Germany,12100.000000000002,1986
254,Netherlands,12100.000000000002,1987
150,Germany,12098.900000000001,2020
255,Germany,12098.900000000001,2020
179,Germany,12098.900000000001,2020
169,Germany,12089.000000000002,2003
136,Germany,12089.000000000002,1977
141,France,13200.000000000002,1993
442,Serbia,13200.000000000002,1990
327,Germany,13200.000000000002,1979
188,Italy,13200.000000000002,1988
1101,Germany,13200.000000000002,1978
141,France,13189.000000000002,2005
284,Switzerland,1942.5,2019
273,Switzerland,1935.0,2020
365,Switzerland,1935.0,2019
180,Germany,14047.000000000002,2020
147,Italy,13750.000000000002,2019
235,Germany,13750.000000000002,1913
452,Italy,13750.000000000002,1994
165,Netherlands,13750.000000000002,1983
436,Switzerland,2220.0,1984
35,Slovakia,15059.000000000002,2014
212,Switzerland,2205.0,2018
121,Italy,14850.000000000002,1998
110,France,14850.000000000002,1999
83,Netherlands,14850.000000000002,1995
264,Spain,14850.000000000002,1996
109,Italy,14850.000000000002,2002
132,Croatia,14850.000000000002,1990
81,France,14850.000000000002,2014
262,France,14850.000000000002,2006
186,Portugal,15950.000000000002,1998
292,Switzerland,2340.0,2020
119,Germany,15802.600000000002,2018
151,Switzerland,2325.0,2006
285,Switzerland,15620.000000000002,2019
281,Italy,15400.000000000002,1997
132,Italy,15400.000000000002,1990
118,Croatia,15400.000000000002,2008
156,Germany,16390.0,2014
111,Croatia,16390.0,1983
87,Italy,16390.0,2020
70,Germany,16390.0,2019
356,Italy,16390.0,1980
198,Germany,16390.0,1984
68,France,16390.0,2017
80,Switzerland,16390.0,2020
180,Germany,16390.0,2002
145,Germany,17050.0,1995
125,Austria,17050.0,1979
236,Austria,17050.0,1993
253,Netherlands,17050.0,1976
311,Germany,17050.0,1979
219,Germany,17048.9,2020
71,Slovakia,17039.0,2017
56,Germany,16990.600000000002,2020
116,Italy,16940.0,2019
341,Switzerland,2652.6,2020
201,Switzerland,2625.0,1992
99,Germany,17842.0,2020
60,Germany,17809.0,2019
387,Switzerland,2625.0,1995
399,Switzerland,2610.0,2020
149,Switzerland,2610.0,2019
141,Croatia,17600.0,1998
53,Montenegro,18590.0,2017
154,Germany,18590.0,1992
107,Italy,18590.0,2019
405,Germany,18590.0,1985
62,France,18590.0,2005
98,France,18590.0,2005
152,Spain,18590.0,2003
172,Croatia,18590.0,1995
339,Switzerland,2739.0,2019
127,Germany,18557.0,2020
247,Switzerland,2731.5,2020
241,Switzerland,2730.0,2020
331,Switzerland,2730.0,1997
144,France,19250.0,2005
192,Portugal,19250.0,2010
149,Netherlands,19250.0,1984
164,Germany,19239.0,1984
162,Germany,19239.0,1977
215,Switzerland,2835.0,2019
335,Switzerland,2835.0,2001
686,Switzerland,2835.0,1990
1028,Switzerland,2925.0,1998
375,Portugal,19800.0,1990
333,Italy,19800.0,2003
129,Spain,19800.0,1993
211,Spain,19800.0,2004
334,Italy,19800.0,1993
119,Spain,19800.0,2009
110,France,20680.0,2015
149,Germany,20625.0,2020
254,Germany,20570.0,1990
324,Switzerland,20559.0,2020
220,Switzerland,3000.0,1991
540,Switzerland,2998.5,2008
339,Switzerland,2998.5,1991
185,Switzerland,3015.0,2020
401,Switzerland,2985.0,2020
2026,Switzerland,2985.0,1993
145,Germany,20366.5,2020
118,Netherlands,21450.0,1981
101,Netherlands,21450.0,1975
78,Netherlands,21450.0,2005
273,Germany,21450.0,2010
778,Germany,21450.0,1996
261,Germany,21439.0,2003
163,Switzerland,3150.0,2014
183,Switzerland,3142.5,2018
117,Germany,21230.0,2020
235,Switzerland,3120.0,2020
217,Italy,21890.0,2019
121,Germany,21890.0,2018
314,Germany,21890.0,1976
122,Netherlands,21890.0,1997
165,France,21890.0,1995
375,Germany,21890.0,1996
80,Germany,21890.0,1994
89,France,21890.0,2002
97,France,21890.0,2006
280,Germany,21890.0,1984
206,Germany,21890.0,1970
159,Germany,21890.0,2017
157,Belgium,21890.0,1969
153,Germany,22548.9,2020
115,Germany,22539.000000000004,2018
118,Switzerland,3316.5,2020
537,Switzerland,3300.0,1989
176,Switzerland,3300.0,1992
415,Switzerland,3300.0,1993
593,Switzerland,3300.0,1978
527,Switzerland,3300.0,2001
265,Switzerland,3300.0,1993
466,Switzerland,3300.0,2006
73,Germany,23535.600000000002,2020
394,Switzerland,3450.0,2019
863,Switzerland,3450.0,1992
235,Switzerland,3450.0,2020
135,Switzerland,3435.0,2016
457,Switzerland,3435.0,2004
135,Germany,23199.000000000004,2019
49,Italy,23100.000000000004,1991
97,Italy,23100.000000000004,1996
241,Italy,23100.000000000004,1997
190,France,23100.000000000004,1989
146,Netherlands,23100.000000000004,1992
141,Germany,24200.000000000004,2007
352,Italy,24200.000000000004,1978
190,Germany,24200.000000000004,1979
111,Italy,24200.000000000004,1996
100,Italy,24200.000000000004,1989
373,Germany,24200.000000000004,1991
86,Germany,25168.000000000004,2020
140,Germany,25135.000000000004,2020
114,Germany,25080.000000000004,2020
87,Portugal,25049.2,2018
49,Germany,25041.500000000004,2020
110,France,24970.000000000004,2003
142,France,24948.000000000004,2020
422,Switzerland,3675.0,1988
417,Switzerland,3675.0,1976
867,Switzerland,3675.0,2015
107,Germany,24772.000000000004,2020
109,Germany,26004.000000000004,2017
483,Switzerland,3825.0,2001
84,Germany,25883.000000000004,2020
164,Germany,25850.000000000004,1982
507,Switzerland,3750.0,1988
771,Switzerland,3750.0,1997
420,Switzerland,3750.0,1992
284,Switzerland,3750.0,1965
888,Switzerland,3750.0,2020
84,Germany,25619.000000000004,2019
273,Switzerland,3735.0,1995
485,Switzerland,3898.5,2006
607,Switzerland,3900.0,1995
187,Switzerland,3900.0,1990
198,Switzerland,3892.5,2020
99,France,26400.000000000004,2005
90,Germany,26400.000000000004,1984
104,France,26400.000000000004,1989
87,France,26400.000000000004,2006
143,Italy,26400.000000000004,1968
87,Italy,26400.000000000004,1987
199,Germany,27390.000000000004,1961
84,Germany,27390.000000000004,1990
138,Germany,27390.000000000004,2017
110,Italy,27390.000000000004,2018
69,Italy,27390.000000000004,2019
93,Spain,27390.000000000004,1995
260,Germany,27390.000000000004,1995
119,Croatia,27390.000000000004,2008
605,Italy,27390.000000000004,1996
100,Germany,27390.000000000004,2002
161,France,27390.000000000004,2007
48,Switzerland,27390.000000000004,2020
100,Italy,27500.000000000004,1998
103,France,27500.000000000004,2007
287,Portugal,27500.000000000004,2007
169,Italy,27500.000000000004,1996
181,Italy,27500.000000000004,1986
94,Italy,27500.000000000004,2001
197,Slovenia,27500.000000000004,1991
160,Netherlands,27500.000000000004,1983
271,Italy,27500.000000000004,2006
170,Spain,27500.000000000004,2001
231,Italy,27500.000000000004,1979
1136,Switzerland,4200.0,1996
278,Germany,28490.000000000004,1995
195,Slovenia,28490.000000000004,2008
80,France,28490.000000000004,2018
140,Germany,28490.000000000004,1981
321,Germany,28490.000000000004,1987
165,France,28490.000000000004,2007
187,Germany,28490.000000000004,1991
217,Germany,28490.000000000004,1995
94,Italy,29480.000000000004,2020
138,Switzerland,4335.0,2017
173,Switzerland,4335.0,2019
205,Switzerland,4335.0,1996
158,Switzerland,4335.0,2019
654,Switzerland,4335.0,1990
97,Italy,29370.000000000004,2020
137,Switzerland,29370.000000000004,2020
224,Italy,29282.000000000004,2020
549,Switzerland,4275.0,2014
198,Switzerland,4305.0,2018
55,Germany,29190.7,2020
191,Switzerland,4425.0,2020
304,Switzerland,4425.0,2018
276,Switzerland,4425.0,1996
457,Switzerland,4425.0,1989
973,Switzerland,4425.0,2002
56,Germany,29832.000000000004,2020
228,Switzerland,4380.0,2020
128,Germany,29700.000000000004,1981
120,Italy,29700.000000000004,1992
227,Germany,30690.000000000004,2020
111,Germany,30690.000000000004,2016
308,Germany,30690.000000000004,2018
41,Italy,30690.000000000004,2019
131,Netherlands,30690.000000000004,1991
377,Germany,30690.000000000004,1992
294,Germany,30690.000000000004,2007
511,Switzerland,4485.0,1983
359,Switzerland,4485.0,1992
385,Switzerland,4650.0,2001
27,France,31400.600000000002,2020
252,Germany,31350.000000000004,2020
169,Croatia,31350.000000000004,1997
81,Italy,31350.000000000004,2005
93,Germany,31350.000000000004,2012
143,Croatia,31350.000000000004,1992
286,Germany,31350.000000000004,1993
241,Germany,31350.000000000004,1998
161,Italy,31900.000000000004,2018
194,Italy,31900.000000000004,2010
